Category	Spotlength	Recognitionmax	GRPmax	Budget
Telecom	25	54%	379	227400
Telecom	25	44%	148	88800
Telecom	25	51%	460	276000
Telecom	25	26%	148	88800
Telecom	25	70%	600	360000
Telecom	20	67%	800	480000
Telecom	20	50%	823	493800
Telecom	20	60%	739	443400
Telecom	25	54%	823	493800
Telecom	25	70%	598	358800
Telecom	25	79%	555	333000
Telecom	35	36%	497	298200
Telecom	40	74%	600	360000
Telecom	45	90%	779	467400
Telecom	45	86%	233	139800
Telecom	45	71%	567	340200
Telecom	35	67%	573	343800
Telecom	40	66%	525	315000
Telecom	25	55%	650	390000
Telecom	30	49%	294	176400
Telecom	30	64%	365	219000
Telecom	40	66%	750	450000
Telecom	30	40%	445	267000
Telecom	40	31%	444	266400
Telecom	30	73%	742	445200
Telecom	30	32%	502	301200
Telecom	35	63%	551	330600
Telecom	30	70%	370	222000
Telecom	35	78%	766	459600
Telecom	35	69%	545	327000
Telecom	35	68%	564	338400
Telecom	35	69%	313	187800
Telecom	40	67%	516	309600
Telecom	40	78%	553	331800
Telecom	45	55%	563	337800
Telecom	30	56%	377	226200
Telecom	25	38%	246	147600
Telecom	25	58%	544	326400
Telecom	30	67%	685	411000
Telecom	30	74%	377	226200
Telecom	25	48%	246	147600
Telecom	25	65%	544	326400
Telecom	20	38%	379	227400
Telecom	25	48%	291	174600
Telecom	25	49%	277	166200
Telecom	35	67%	492	295200
Telecom	35	38%	439	263400
Telecom	20	51%	283	169800
Telecom	40	33%	548	328800
Telecom	40	59%	536	321600
Telecom	40	57%	536	321600
Telecom	30	47%	709	425400
Telecom	20	42%	514	308400
Telecom	35	88%	1060	636000
Telecom	40	35%	440	263880
Telecom	40	46%	574	344400
Telecom	35	73%	297	178200
Telecom	35	68%	648	388800
Telecom	30	49%	360	216000
Telecom	50	43%	560	336000
Telecom	15	18%	186	111600
Telecom	15	12%	203	121800
Telecom	40	63%	945	567000
FMCG	20	31%	220	132000
FMCG	20	38%	525	315000
FMCG	20	25%	332	199200
FMCG	20	44%	185	111000
FMCG	25	49%	392	235200
FMCG	35	41%	363	217800
FMCG	30	46%	554	332400
FMCG	25	50%	527	316200
FMCG	30	64%	607	364200
FMCG	30	39%	352	211200
FMCG	30	49%	529	317580
FMCG	20	29%	562	337200
FMCG	20	21%	562	337200
FMCG	20	52%	546	327600
Finance	35	47%	287	172200
Finance	35	13%	174	104400
Finance	35	48%	307	184200
Finance	35	13%	157	94200
FMCG	30	62%	395	237000
FMCG	25	43%	666	399600
FMCG	25	27%	158	94560
FMCG	30	37%	537	322200
FMCG	30	41%	320	191820
FMCG	30	31%	213	127740
FMCG	25	38%	164	98340
FMCG	20	49%	460	276000
FMCG	30	74%	573	343800
FMCG	25	68%	1197	718200
FMCG	25	27%	342	205200
FMCG	20	54%	205	123000
FMCG	20	16%	387	232200
Finance	45	69%	547	328200
Finance	25	43%	479	287520
Finance	20	36%	499	299400
Finance	20	26%	200	120000
Finance	20	18%	140	84000
Finance	20	18%	159	95400
